uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1696449140","04 Oct 2023, 19:52","Yeat","9e6a6a2f-f696-4cc0-87f1-e4f712e46802","Up 2 Më","482751a5-b378-47a3-a8a7-d6fc741b21bb","Dëserve it","5e057f50-a582-44b4-b8ba-3359b37038ac"
"1696449017","04 Oct 2023, 19:50","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","Good Luck (Deluxe)","","Drama",""
"1696448786","04 Oct 2023, 19:46","Siouxsie and the Banshees","78ea5ea1-3c4d-4b7e-ac5d-68900319ebe2","Tinderbox","1ab8752b-5df7-34a1-a560-af05849ecbf0","Cities in Dust","1b537df0-8e7f-4ea4-9a2f-58a75a0c0ccd"
"1696448575","04 Oct 2023, 19:42","Alice Gas","","leg room","","leg room",""
"1696446422","04 Oct 2023, 19:07","The Kinks","","The Darjeeling Limited","","This Time Tomorrow - 2020 Stereo Remaster",""
"1696446317","04 Oct 2023, 19:05","Pitfall","0ed166e0-2cde-47bc-a191-1bf8834d954b","fatal","","Fatal",""
"1696446164","04 Oct 2023, 19:02","Buckshot","2ff42e4d-ba2d-4fd4-8334-1eebb076bacc","Burning Barn","03a4fc9c-fc7a-406c-ae30-648fbdfa918b","Keepe Out","2608dc54-db87-4922-ba00-9a3bfe43b848"
"1696445856","04 Oct 2023, 18:57","Good Sad Happy Bad","1eb3bb5b-ea33-44c8-adbc-4b7b1fe47cb4","Shades","1185ebcf-8059-4a4e-a79d-42c910fa54d8","Star","c8eed02c-9847-4b9a-9d72-dc6cf8eafc65"
"1696445747","04 Oct 2023, 18:55","Modern Baseball","e3513b4f-2a13-45f5-8ead-e79b1af0bf68","You're Gonna Miss It All","c3c71198-ebc5-44b3-b076-88fb8dd4bc0f","Broken Cash Machine","b47b87ff-e675-41b8-bc9f-5d13b7ae0193"
"1696445513","04 Oct 2023, 18:51","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Pop 2","5414958b-12e2-4a6e-b335-26002cd8bdee","Unlock it (Lock It) - feat. Kim Petras and Jay Park","340f64d7-bab1-4f6d-8b55-f4d4694eac8b"
"1696445299","04 Oct 2023, 18:48","Lil B","1550f952-c91b-40d7-9b4d-d26a259ee932","Everything Based","66a82f75-a814-4c79-9457-a4ac7d0d2186","T-Shirts Buddens","3145b971-5ad6-4b8a-ae9c-663b5914e12b"
"1696445139","04 Oct 2023, 18:45","Slaughter Beach, Dog","9969f247-ce03-4b25-927f-c00c51ecedbe","Motorcycle.jpg","a8f0fade-f62b-46c8-a2f6-c0801b989838","104 degrees","053ad97b-8a45-48b7-83d6-17c5c0149dbf"
"1696444909","04 Oct 2023, 18:41","The Beths","4c74fc48-8108-4556-87af-154af74f2ce5","Future Me Hates Me","018c2a22-52d6-4cda-a489-9b19ead0dd85","Not Running","26508fcc-2fe6-4b59-ba00-a1ce4372e5b4"
"1696444637","04 Oct 2023, 18:37","Peach Pit","1888892a-06b7-4bbd-b0a1-3ffde01e4094","From 2 to 3","790b0838-2d47-4b9e-b2b7-07f8519eb00c","Give Up Baby Go",""
"1696444490","04 Oct 2023, 18:34","Thick","6d6f4889-fbca-4f74-b4f1-fe75cfa2a965","Love You Forever","","Love You Forever",""
"1696444250","04 Oct 2023, 18:30","Hippo Campus","cf9655a8-ce1e-414e-9843-de1c4a60830d","Moonshine","","moonshine",""
"1696444128","04 Oct 2023, 18:28","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","The Fool","c766c578-2b32-4e96-b697-10eace5e662e","BBY","8764bc7a-4204-40f0-9545-d30f7c83d843"
"1696443856","04 Oct 2023, 18:24","Lana Del Rey","b7539c32-53e7-4908-bda3-81449c367da6","Chemtrails Over the Country Club","0084311d-5257-492f-a37a-1295ecc41011","Chemtrails Over the Country Club","04983a2f-9e17-405e-804e-f9b9e54be72e"
"1696443696","04 Oct 2023, 18:21","Slaughter Beach, Dog","9969f247-ce03-4b25-927f-c00c51ecedbe","Motorcycle.jpg","a8f0fade-f62b-46c8-a2f6-c0801b989838","104 degrees","053ad97b-8a45-48b7-83d6-17c5c0149dbf"
"1696443436","04 Oct 2023, 18:17","Pinegrove","871fe26f-544d-4275-a5dd-af5442d15b92","Marigold","4e36a18f-f506-4c6b-9a10-2fdba57ab98f","Dotted Line","030dbe78-7ffe-47c9-a090-09c340f6f261"
"1696443335","04 Oct 2023, 18:15","Pinegrove","871fe26f-544d-4275-a5dd-af5442d15b92","Everything So Far","5f26f199-53d4-481f-9285-c5a447486938","Angelina","135523a2-3ee0-4c84-a4d6-d0f8810d46ec"
"1696443141","04 Oct 2023, 18:12","Modern Baseball","e3513b4f-2a13-45f5-8ead-e79b1af0bf68","Polyvinyl 4-Track Singles Series, Vol. 3","","Intersection","8bbc0a6a-f31a-468f-b168-320bdbcef6ac"
"1696442747","04 Oct 2023, 18:05","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Lost Ark Studio Compilation, Vol. 8","e094172a-53ef-4b98-9077-e63b52f9ea3b","Waiting Room","1676bafb-842e-477e-85fa-5e6ceba4efca"
"1696442539","04 Oct 2023, 18:02","Pavement","","Brighten the Corners: Nicene Creedence Ed.","3b7c9589-d3e1-4a83-bc7b-a5b3f300840f","Harness Your Hopes - b-side",""
"1696442417","04 Oct 2023, 18:00","Wet Leg","90744b3e-363a-458e-8da1-e3e392a489c4","Wet Leg","949c1b3a-db54-4302-90b3-ec8d0f70a45b","Being in Love","59008d81-df03-40d2-a81c-d11a4459a3a2"
"1696442167","04 Oct 2023, 17:56","girlpuppy","5edb9543-751f-4d53-99b7-2d36a454a9dc","When I'm Alone","","Wish","de2db15a-73a1-4886-8a26-dd0143996d48"
"1696442059","04 Oct 2023, 17:54","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","Spiderr","92de5f22-69e3-4a1f-877f-ca9c475d73c2","She's Always Dancing","9316333b-25e5-4c39-805f-47eedb46db41"
