uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1699414136","08 Nov 2023, 03:28","wished bone","f3c6d990-ba6f-40bd-8d9c-3ebd0b736c0d","cellar belly","d740ab92-d124-4662-9c00-60795fdcac6c","pollinate me","2e29b6ec-3f1e-4c62-9d1d-038980e6dd10"
"1699413820","08 Nov 2023, 03:23","wished bone","f3c6d990-ba6f-40bd-8d9c-3ebd0b736c0d","cellar belly","d740ab92-d124-4662-9c00-60795fdcac6c","pollinate me","2e29b6ec-3f1e-4c62-9d1d-038980e6dd10"
"1699413620","08 Nov 2023, 03:20","Sarah Crean","","02:00 AM","","02:00 AM",""
"1699413530","08 Nov 2023, 03:18","The Sidekicks","97422a55-1966-46b6-b864-622ef3553c78","Happiness Hours","120be5a0-bc3a-417e-a542-f684a173358f","Other People's Pets","e1c61081-482f-4a35-9d5f-bc656e2ddd05"
"1699413294","08 Nov 2023, 03:14","Moon Tide Gallery","ca450781-d2a9-4b7e-9fc3-7d8fc6e806ee","Tell Me How You Feel","","Sublunar Swing",""
"1699413110","08 Nov 2023, 03:11","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Baby","717eb033-c0a8-4d87-8f0e-f0517c8a69e1"
"1699412969","08 Nov 2023, 03:09","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Speed Drive (From Barbie the Album)","","Speed Drive (From Barbie the Album)",""
"1699412786","08 Nov 2023, 03:06","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Gone",""
"1699412549","08 Nov 2023, 03:02","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","1999","","1999","0379ed24-fd11-4dd2-b884-c21a14f22238"
"1699412170","08 Nov 2023, 02:56","No Rome","f2a6793f-da52-4fe9-81be-2e71ea04f7ee","Spinning (with Charli XCX & The 1975)","","Spinning (with Charli XCX & The 1975)",""
"1699411974","08 Nov 2023, 02:52","No Rome","f2a6793f-da52-4fe9-81be-2e71ea04f7ee","Spinning (with Charli XCX & The 1975)","","Spinning (with Charli XCX & The 1975)",""
"1699411837","08 Nov 2023, 02:50","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Good Ones","d11ea377-8b4b-4631-9161-c6e4d485e234"
"1699411542","08 Nov 2023, 02:45","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","how i'm feeling now","0690e824-9bbd-4b09-bf5d-673394ca5afe","party 4 u","2ef24e1d-ddb2-4428-b4df-d8f45f3f11b6"
"1699411324","08 Nov 2023, 02:42","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699411142","08 Nov 2023, 02:39","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","New Shapes (feat. Christine and the Queens and Caroline Polachek)",""
"1699410975","08 Nov 2023, 02:36","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Good Ones (Joel Corry Remix)","","Good Ones - Joel Corry Remix","293996b0-79c5-4039-a4f8-c87d921b802e"
"1699410824","08 Nov 2023, 02:33","Charli XCX","","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","February 2017 (feat. Clairo and Yaeji)",""
"1699410630","08 Nov 2023, 02:30","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Pop 2","5414958b-12e2-4a6e-b335-26002cd8bdee","Unlock it (Lock It) - feat. Kim Petras and Jay Park","340f64d7-bab1-4f6d-8b55-f4d4694eac8b"
"1699410482","08 Nov 2023, 02:28","Elio","dcdde3aa-1d73-4c02-9e89-c5e8d3929eac","ELIO and Friends : The Remixes","","CHARGER (ft. Charli XCX)",""
"1699410351","08 Nov 2023, 02:25","Tiësto","","DRIVE","","Hot in It (feat. Charli XCX)",""
"1699410195","08 Nov 2023, 02:23","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Next Level Charli","28c7cbec-2f0a-452a-930d-cff6c065e99b"
"1699410024","08 Nov 2023, 02:20","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Next Level Charli","28c7cbec-2f0a-452a-930d-cff6c065e99b"
"1699409862","08 Nov 2023, 02:17","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH (Deluxe)","","Sorry if I Hurt You",""
"1699409285","08 Nov 2023, 02:08","Mura Masa","d2a76e1b-cecc-4500-b445-d55591821cd3","Mura Masa","3096593e-ccf5-404b-a9ac-30c38b259967","1 Night (feat. Charli XCX)",""
"1699409126","08 Nov 2023, 02:05","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH (Deluxe)","","How Can I Not Know What I Need Right Now",""
"1699408877","08 Nov 2023, 02:01","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Pop 2","5414958b-12e2-4a6e-b335-26002cd8bdee","Tears (feat. Caroline Polachek)",""
"1699408615","08 Nov 2023, 01:56","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Pop 2","5414958b-12e2-4a6e-b335-26002cd8bdee","Backseat (feat. Carly Rae Jepsen)",""
"1699408406","08 Nov 2023, 01:53","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Cross You Out (feat. Sky Ferreira)",""
"1699408223","08 Nov 2023, 01:50","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","Charli","6fdb3260-eac7-4ad9-8c72-92f45d9ca836","Official","335b497c-6abf-4c35-9bb6-cb53885f20ef"
"1699397444","07 Nov 2023, 22:50","Palmistry","","Tinkerbell","8086eba4-a35d-48de-b7ad-34ffd8794a5c","Brexia",""
"1699394512","07 Nov 2023, 22:01","Chappell Roan","56a55378-f155-48de-80a5-d80104221267","HOT TO GO!","","HOT TO GO!","e619cd9d-ee35-4e37-8ee1-51b992ab95d7"
"1699394365","07 Nov 2023, 21:59","Free Cake For Every Creature","16f0ea6f-908f-4dcf-b0e0-473ce60b584e","Talking Quietly Of Anything With You","0d5e20f3-c176-466b-a58b-ffd3cafebdbe","For You","a284e196-7a1c-48e7-9ceb-9b0c4968245a"
"1699394236","07 Nov 2023, 21:57","Moontype","b9e16954-0de4-46a8-a3fc-a33603a37df7","Bodies of Water","1f73a6a3-99fc-4d73-b529-c9f7afdcd81c","About You","4f037613-6804-4e0e-a141-28fe2808f25c"
"1699394002","07 Nov 2023, 21:53","The Mountain Goats","9639cd52-c351-4a17-9797-58880e95a7ef","The Sunset Tree","2d66c5e3-c1f0-440c-96b7-fd4578ecb8c7","This Year","39d4573a-b566-3d20-9568-0cfb56c2f67c"
"1699393842","07 Nov 2023, 21:50","Phoebe Bridgers","96855c21-b832-4366-ba12-0d2330c36a86","Kyoto (Glitch Gum Remix)","0713222a-def3-47f8-9ff9-deb217d9d336","Kyoto (Glitch Gum Remix)","fcb97573-c1b0-4a4e-9665-4eda1c127307"
"1699391738","07 Nov 2023, 21:15","trapl archives","","imgonnagetmyrevenge","","imgonnagetmyrevenge",""
"1699390470","07 Nov 2023, 20:54","Charli XCX","260b6184-8828-48eb-945c-bc4cb6fc34ca","CRASH","0c41aa7d-de57-4d98-a3c0-4c740834b410","Constant Repeat","35402eb9-404c-404c-baad-545f9be32aeb"
"1699389955","07 Nov 2023, 20:45","Indigo Girls","00c49f40-d715-4b79-b223-432048602cce","Indigo Girls (Expanded Edition)","","Prince of Darkness","1038a7ac-9bee-332b-a2e8-55c9fc2379cc"
